DTXSID,CASRN,PREFERRED NAME,MOLECULAR_FORMULA,MONOISOTOPIC MASS,AVERAGE_MASS,SMILES,ToxCast Active,ToxCast Total,% ToxCast Active,HIT CALL
DTXSID1026536,89-32-7,"1H,3H-Benzo(1,2-c:4,5-c')difuran-1,3,5,7-tetrone",C10H2O6,217.985138,218.12,O=C1OC(=O)C2=CC3=C(C=C12)C(=O)OC3=O,2,318,1,Inactive
DTXSID1026293,81-48-1,D&C Violet 2,C21H15NO3,329.105193,329.355,CC1=CC=C(NC2=C3C(=O)C4=C(C=CC=C4)C(=O)C3=C(O)C=C2)C=C1,12,425,3,Inactive
DTXSID1026615,97-90-5,Ethylene glycol dimethacrylate,C10H14O4,198.089209,198.218,CC(=C)C(=O)OCCOC(=O)C(C)=C,1,318,0,Inactive
DTXSID1026879,111-49-9,Hexamethyleneimine,C6H13N,99.104799,99.177,C1CCCNCC1,2,351,1,Inactive
DTXSID1026902,112-03-8,"N,N,N-Trimethyloctadecan-1-aminium chloride",C21H46ClN,347.331878,348.06,[Cl-].CCCCCCCCCCCCCCCCCC[N+](C)(C)C,273,436,63,Inactive
DTXSID1026900,112-00-5,Dodecyltrimethylammonium chloride,C15H34ClN,263.237978,263.89,[Cl-].CCCCCCCCCCCC[N+](C)(C)C,318,646,49,Inactive
DTXSID1026792,108-44-1,3-Methylaniline,C7H9N,107.073499,107.156,CC1=CC(N)=CC=C1,8,595,1,Inactive
DTXSID1026665,100-54-9,3-Pyridinecarbonitrile,C6H4N2,104.037448,104.112,N#CC1=CN=CC=C1,3,652,0,Inactive
DTXSID1027134,298-07-7,Bis(2-ethylhexyl) phosphate,C16H35O4P,322.227297,322.426,CCCCC(CC)COP(O)(=O)OCC(CC)CCCC,158,471,34,Inactive
DTXSID1027184,541-02-6,Decamethylcyclopentasiloxane,C10H30O5Si5,370.093957,370.77,C[Si]1(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O1,4,346,1,Inactive
DTXSID1026904,112-07-2,2-Butoxyethyl acetate,C8H16O3,160.109944,160.213,CCCCOCCOC(C)=O,2,348,1,Inactive
DTXSID1026906,112-18-5,"N,N-Dimethyldodecan-1-amine",C14H31N,213.24565,213.409,CCCCCCCCCCCCN(C)C,29,472,6,Active
DTXSID1027390,1333-39-7,Phenolsulfonic acid,C6H6O4S,173.99868,174.17,"O*.OS(=O)(=O)C1=CC=CC=C1 |c:7,9,t:5,lp:0:2,2:2,4:2,5:2,m:1:9.10.11|",4,355,1,Inactive
DTXSID1026908,112-25-4,2-Hexyloxyethanol,C8H18O2,146.13068,146.23,CCCCCCOCCO,2,572,0,Inactive
DTXSID1027211,558-37-2,"3,3-Dimethyl-1-butene",C6H12,84.0939,84.162,CC(C)(C)C=C,0,316,0,Inactive
DTXSID1027342,930-69-8,Sodium benzenethiolate,C6H5NaS,132.000966,132.16,[Na+].[S-]C1=CC=CC=C1,7,427,2,Inactive
DTXSID1027263,628-63-7,Pentyl acetate,C7H14O2,130.09938,130.187,CCCCCOC(C)=O,26,577,5,Inactive
DTXSID1027267,629-59-4,Tetradecane,C14H30,198.234751,198.394,CCCCCCCCCCCCCC,0,321,0,Inactive
DTXSID1027504,2867-47-2,2-(Dimethylamino)ethyl methacrylate,C8H15NO2,157.110279,157.213,CN(C)CCOC(=O)C(C)=C,1,318,0,Inactive
DTXSID1027479,2440-22-4,2-(2H-Benzotriazol-2-yl)-4-methylphenol,C13H11N3O,225.090212,225.251,CC1=CC(N2N=C3C=CC=CC3=N2)=C(O)C=C1,37,472,8,Inactive
DTXSID1027344,947-04-6,Azacyclotridecan-2-one,C12H23NO,197.177964,197.322,O=C1CCCCCCCCCCCN1,6,428,1,Inactive
DTXSID1027429,1724-39-6,Cyclododecanol,C12H24O,184.182715,184.323,OC1CCCCCCCCCCC1,31,351,9,Inactive
DTXSID1027346,993-16-8,Trichloromethylstannane,CH3Cl3Sn,239.832235,240.1,C[Sn](Cl)(Cl)Cl,2,318,1,Inactive
DTXSID1027500,2807-30-9,2-Propoxyethanol,C5H12O2,104.08373,104.149,CCCOCCO,0,347,0,Inactive
DTXSID1027502,2814-20-2,2-Isopropyl-6-methyl-4-pyrimidone,C8H12N2O,152.094963,152.197,CC(C)C1=NC(=O)C=C(C)N1,1,323,0,Inactive
DTXSID1027550,3926-62-3,Sodium chloroacetate,C2H2ClNaO2,115.964101,116.48,[Na+].[O-]C(=O)CCl,1,353,0,Inactive
DTXSID1027558,4083-64-1,p-Toluenesulphonyl isocyanate,C8H7NO3S,197.014664,197.21,CC1=CC=C(C=C1)S(=O)(=O)N=C=O,1,319,0,Inactive
DTXSID1027556,4075-81-4,Calcium propionate,C6H10CaO4,186.0205,186.22,[Ca++].CCC([O-])=O.CCC([O-])=O,2,318,1,Inactive
DTXSID1027633,6683-19-8,Irganox 1010,C73H108O12,1176.784079,1177.655,CC(C)(C)C1=CC(CCC(=O)OCC(COC(=O)CCC2=CC(=C(O)C(=C2)C(C)(C)C)C(C)(C)C)(COC(=O)CCC2=CC(=C(O)C(=C2)C(C)(C)C)C(C)(C)C)COC(=O)CCC2=CC(=C(O)C(=C2)C(C)(C)C)C(C)(C)C)=CC(=C1O)C(C)(C)C,10,350,3,Inactive
DTXSID1027635,6846-50-0,"2,2,4-Trimethyl-1,3-pentanediol diisobutyrate",C16H30O4,286.214409,286.412,CC(C)C(OC(=O)C(C)C)C(C)(C)COC(=O)C(C)C,27,624,4,Inactive
DTXSID1027924,27178-16-1,Diisodecyl hexanedioate,C26H50O4,426.37091,426.682,"C*.C*.CCCCCCCCCOC(=O)CCCCC(=O)OCCCCCCCCC |lp:13:2,15:2,21:2,22:2,m:1:23.24.25.26.27.28.29.30,3:12.11.10.9.8.7.6.5|",10,588,2,Inactive
DTXSID1027899,26447-10-9,Ammonium xylene sulfonate,C8H13NO3S,203.061614,203.26,"[NH4+].C*.C*.[O-]S(=O)(=O)C1=CC=CC=C1 |c:8,10,t:6,lp:5:3,7:2,8:2,m:2:10.14.11.13.12,4:10.14.11.13.12|",1,350,0,Inactive
DTXSID1027920,27090-63-7,"N,N,N',N'-Tetrabutyl-1,6-hexanediamine",C22H48N2,340.38175,340.64,CCCCN(CCCC)CCCCCCN(CCCC)CCCC,0,345,0,Inactive
DTXSID1027926,27193-86-8,n-Dodecylphenol,C18H30O,262.229666,262.437,"CCCCCCCCCCCC*.OC1=CC=CC=C1 |c:15,17,t:13,lp:13:2,m:12:15.16.17|",192,393,49,Inactive
DTXSID1027978,32687-77-7,"3-[3,5-DI(tert-butyl)-4-hydroxyphenyl]propanohydrazide",C17H28N2O2,292.215078,292.423,CC(C)(C)C1=CC(CCC(=O)NN)=CC(=C1O)C(C)(C)C,8,316,3,Inactive
DTXSID1027928,27247-96-7,2-Ethylhexyl nitrate,C8H17NO3,175.120843,175.228,CCCCC(CC)CO[N+]([O-])=O,36,429,8,Inactive
DTXSID1029124,95-93-2,"1,2,4,5-Tetramethylbenzene",C10H14,134.10955,134.222,CC1=CC(C)=C(C)C=C1C,2,348,1,Inactive
DTXSID1029201,833-66-9,Potassium 6-hydroxynaphthalene-2-sulfonate,C10H7KO4S,261.970211,262.32,[K+].OC1=CC2=C(C=C1)C=C(C=C2)S([O-])(=O)=O,0,316,0,Inactive
DTXSID1029128,97-99-4,Tetrahydrofurfuryl alcohol,C5H10O2,102.06808,102.133,OCC1CCCO1,1,349,0,Inactive
DTXSID1029170,141-79-7,4-Methylpent-3-en-2-one,C6H10O,98.073165,98.145,CC(C)=CC(C)=O,9,381,2,Inactive
DTXSID1029251,3052-50-4,Monomethyl maleate,C5H6O4,130.026609,130.099,COC(=O)\C=C/C(O)=O,5,318,2,Inactive
DTXSID1029889,989-51-5,(-)-Epigallocatechin gallate,C22H18O11,458.084911,458.375,OC1=CC(O)=C2C[C@@H](OC(=O)C3=CC(O)=C(O)C(O)=C3)[C@H](OC2=C1)C1=CC(O)=C(O)C(O)=C1,53,321,17,Inactive
DTXSID1031462,1124-64-7,N-Butylpyridinium chloride,C9H14ClN,171.081477,171.67,[Cl-].CCCC[N+]1=CC=CC=C1,0,316,0,Inactive
DTXSID1031591,625-45-6,Methoxyacetic acid,C3H6O3,90.031694,90.078,COCC(O)=O,1,318,0,Inactive
DTXSID1031626,1896-62-4,Methyl trans-styryl ketone,C10H10O,146.073165,146.189,CC(=O)\C=C\C1=CC=CC=C1,39,431,9,Inactive
DTXSID1029677,7631-86-9,Silica,O2Si,59.966756,60.083,O=[Si]=O,5,573,1,Inactive
DTXSID1032303,53939-28-9,(Z)-11-Hexadecenal,C16H30O,238.229666,238.415,CCCC\C=C/CCCCCCCCCC=O,6,346,2,Inactive
DTXSID1030319,132-32-1,3-Amino-9-ethylcarbazole,C14H14N2,210.115698,210.28,CCN1C2=C(C=CC=C2)C2=C1C=CC(N)=C2,88,439,20,Inactive
DTXSID1031460,479500-35-1,1-Butyl-1-methylpyrrolidinium chloride,C9H20ClN,177.128427,177.72,[Cl-].CCCC[N+]1(C)CCCC1,4,316,1,Inactive
DTXSID1030606,55589-62-3,Acesulfame potassium,C4H4KNO4S,200.94981,201.24,[K+].CC1=CC(=O)[N-]S(=O)(=O)O1,2,344,1,Inactive
DTXSID1032305,10061-01-5,(Z)-Dichloropropene,C3H4Cl2,109.969005,110.97,ClC\C=C/Cl,0,203,0,Inactive
DTXSID1032355,81777-89-1,Clomazone,C12H14ClNO2,239.071306,239.7,CC1(C)CON(CC2=C(Cl)C=CC=C2)C1=O,46,658,7,Inactive
DTXSID1032309,1929-73-3,"2,4-D-Butotyl",C14H18Cl2O4,320.058215,321.19,CCCCOCCOC(=O)COC1=C(Cl)C=C(Cl)C=C1,4,348,1,Inactive
DTXSID1032488,117718-60-2,Thiazopyr,C16H17F5N2O2S,396.09309,396.38,COC(=O)C1=C(CC(C)C)C(C2=NCCS2)=C(N=C1C(F)F)C(F)(F)F,98,668,15,Inactive
DTXSID1032511,7779-27-3,"1,3,5-Triethylhexahydro-s-triazine",C9H21N3,171.173548,171.288,CCN1CN(CC)CN(CC)C1,28,466,6,Inactive
DTXSID1032513,85264-33-1,"(3,5-Dimethyl-1H-pyrazol-1-yl)methanol",C6H10N2O,126.079313,126.159,CC1=NN(CO)C(C)=C1,1,352,0,Inactive
DTXSID1032359,121552-61-2,Cyprodinil,C14H15N3,225.126597,225.295,CC1=NC(NC2=CC=CC=C2)=NC(=C1)C1CC1,164,660,25,Inactive
DTXSID1032519,135158-54-2,Acibenzolar-S-methyl,C8H6N2OS2,209.992155,210.27,CSC(=O)C1=CC=CC2=C1SN=N2,42,780,5,Inactive
DTXSID1032482,96182-53-5,Tebupirimfos,C13H23N2O3PS,318.116701,318.37,CCOP(=S)(OC(C)C)OC1=CN=C(N=C1)C(C)(C)C,180,705,26,Inactive
DTXSID1032484,3383-96-8,Temephos,C16H20O6P2S3,465.989726,466.46,COP(=S)(OC)OC1=CC=C(SC2=CC=C(OP(=S)(OC)OC)C=C2)C=C1,128,492,26,Inactive
DTXSID1032569,23103-98-2,Pirimicarb,C11H18N4O2,238.142976,238.291,CN(C)C(=O)OC1=C(C)C(C)=NC(=N1)N(C)C,31,669,5,Inactive
DTXSID1032690,173584-44-6,Indoxacarb,C22H17ClF3N3O7,527.070712,527.84,COC(=O)N(C(=O)N1CO[C@]2(CC3=C(C=CC(Cl)=C3)C2=N1)C(=O)OC)C1=CC=C(OC(F)(F)F)C=C1,174,730,24,Inactive
DTXSID1032640,95737-68-1,Pyriproxyfen,C20H19NO3,321.136493,321.376,CC(COC1=CC=C(OC2=CC=CC=C2)C=C1)OC1=NC=CC=C1,101,695,15,Inactive
DTXSID1032646,4151-50-2,N-Ethylperfluorooctane sulfonamide,C10H6F17NO2S,526.984778,527.2,CCNS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,201,733,27,Inactive
DTXSID1033161,1646-87-3,Aldicarb sulfoxide,C7H14N2O3S,206.072513,206.26,CNC(=O)ON=CC(C)(C)S(C)=O,9,358,3,Inactive
DTXSID1032648,22248-79-9,Z-Tetrachlorvinphos,C10H9Cl4O4P,363.899257,365.95,COP(=O)(OC)O\C(=C/Cl)C1=C(Cl)C=C(Cl)C(Cl)=C1,113,481,23,Active
DTXSID1032642,122931-48-0,Rimsulfuron,C14H17N5O7S2,431.05694,431.44,CCS(=O)(=O)C1=CC=CN=C1S(=O)(=O)NC(=O)NC1=NC(OC)=CC(OC)=N1,17,387,4,Inactive
DTXSID1033371,96-41-3,Cyclopentanol,C5H10O,86.073165,86.134,OC1CCCC1,3,352,1,Inactive
DTXSID1033664,58-18-4,17-Methyltestosterone,C20H30O2,302.22458,302.458,[H][C@@]12CC[C@](C)(O)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])CCC2=CC(=O)CC[C@]12C,157,696,23,Active
DTXSID1034503,122008-85-9,Cyhalofop-butyl,C20H20FNO4,357.137636,357.381,CCCCOC(=O)[C@@H](C)OC1=CC=C(OC2=C(F)C=C(C=C2)C#N)C=C1,40,650,6,Inactive
DTXSID1034187,10540-29-1,Tamoxifen,C26H29NO,371.224915,371.524,CC\C(=C(/C1=CC=CC=C1)C1=CC=C(OCCN(C)C)C=C1)C1=CC=CC=C1,356,739,48,Inactive
DTXSID1034212,118134-30-8,Spiroxamine,C18H35NO2,297.266779,297.483,CCCN(CC)CC1COC2(CCC(CC2)C(C)(C)C)O1,124,713,17,Inactive
DTXSID1034210,29091-21-2,Prodiamine,C13H17F3N4O4,350.12019,350.298,CCCN(CCC)C1=C(C(N)=C(C=C1[N+]([O-])=O)C(F)(F)F)[N+]([O-])=O,292,673,43,Inactive
DTXSID1034181,82640-04-8,Raloxifene hydrochloride,C28H28ClNO4S,509.142757,510.05,Cl.OC1=CC=C(C=C1)C1=C(C(=O)C2=CC=C(OCCN3CCCCC3)C=C2)C2=CC=C(O)C=C2S1,398,724,55,Active
DTXSID1034260,79-57-2,Oxytetracycline,C22H24N2O9,460.14818,460.439,[H][C@@]12[C@@H](O)[C@@]3([H])C(C(=O)C4=C(C=CC=C4O)[C@@]3(C)O)=C(O)[C@]1(O)C(=O)C(C(N)=O)=C(O)[C@H]2N(C)C,52,493,11,Inactive
DTXSID1034501,76703-62-3,gamma-Cyhalothrin,C23H19ClF3NO3,449.100556,449.85,CC1(C)[C@@H](\C=C(/Cl)C(F)(F)F)[C@H]1C(=O)O[C@H](C#N)C1=CC=CC(OC2=CC=CC=C2)=C1,24,310,8,Inactive
DTXSID1035288,33956-49-9,"(8E,10E)-8,10-Dodecadien-1-ol",C12H22O,182.167065,182.307,C\C=C\C=C\CCCCCCCO,55,359,15,Inactive
DTXSID1035783,65733-16-6,S-Methoprene,C19H34O3,310.250795,310.478,COC(C)(C)CCC[C@H](C)C\C=C\C(\C)=C\C(=O)OC(C)C,125,435,29,Active
DTXSID1034769,2444-46-4,N-Vanillylnonanamide,C17H27NO3,293.199094,293.407,CCCCCCCCC(=O)NCC1=CC(OC)=C(O)C=C1,59,451,13,Inactive
DTXSID1034634,68157-60-8,Forchlorfenuron,C12H10ClN3O,247.05124,247.68,ClC1=NC=CC(NC(=O)NC2=CC=CC=C2)=C1,237,681,35,Inactive
DTXSID1036541,145-13-1,Pregnenolone,C21H32O2,316.24023,316.485,[H][C@@]12CC[C@H](C(C)=O)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])CC=C2C[C@@H](O)CC[C@]12C,57,452,13,Inactive
DTXSID1036545,791-31-1,Triphenylsilanol,C18H16OSi,276.097042,276.41,O[Si](C1=CC=CC=C1)(C1=CC=CC=C1)C1=CC=CC=C1,96,304,32,Inactive
DTXSID1034973,87820-88-0,Tralkoxydim,C20H27NO3,329.199094,329.44,CCON=C(CC)C1=C(O)CC(CC1=O)C1=C(C)C=C(C)C=C1C,34,662,5,Inactive
DTXSID10370988,15242-17-8,Allyl perfluoroisopropyl ether,C6H5F7O,226.022862,226.094,FC(F)(F)C(F)(OCC=C)C(F)(F)F,1,100,1,Inactive
DTXSID1034929,283594-90-1,Spiromesifen,C23H30O4,370.214409,370.489,CC1=CC(C)=C(C2=C(OC(=O)CC(C)(C)C)C3(CCCC3)OC2=O)C(C)=C1,36,364,10,Active
DTXSID1037565,55814-41-0,Mepronil,C17H19NO2,269.141579,269.344,CC(C)OC1=CC=CC(NC(=O)C2=C(C)C=CC=C2)=C1,29,354,8,Inactive
DTXSID1037567,171118-09-5,Metolachlor ESA,C15H23NO5S,329.129694,329.41,CCC1=CC=CC(C)=C1N(C(C)COC)C(=O)CS(O)(=O)=O,6,303,2,Inactive
DTXSID1037806,3397-62-4,"6-Chloro-1,3,5-triazine-2,4-diamine",C3H4ClN5,145.015523,145.55,NC1=NC(Cl)=NC(N)=N1,0,324,0,Inactive
DTXSID10379254,1765-92-0,"1H,1H-Heptafluorobutyl epoxide",C6H5F7O,226.022862,226.094,FC(F)(F)C(F)(F)C(F)(F)CC1CO1,7,231,3,Inactive
DTXSID10379835,423-49-4,"1H,1H-Perfluoroheptylamine",C7H4F13N,349.013615,349.095,NCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,0,231,0,Inactive
DTXSID10379850,1767-94-8,6H-Perfluorohex-1-ene,C6HF11,281.99026,282.056,FC(F)C(F)(F)C(F)(F)C(F)(F)C(F)=C(F)F,0,100,0,Inactive
DTXSID10379991,1651-41-8,3-(Perfluorooctyl)propanol,C11H7F17O,478.022544,478.149,OCCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,153,239,64,Active
DTXSID10382147,125070-38-4,"3-(Perfluoro-2-butyl)propane-1,2-diol",C7H7F9O2,294.030233,294.117,OCC(O)CC(F)(F)C(F)(F)C(F)(F)C(F)(F)F,7,250,3,Inactive
DTXSID1037303,375-85-9,Perfluoroheptanoic acid,C7HF13O2,363.976895,364.062,OC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,38,675,6,Inactive
DTXSID1038743,136-85-6,5-Methyl-1H-benzotriazole,C7H7N3,133.063997,133.154,CC1=CC2=C(NN=N2)C=C1,1,316,0,Inactive
DTXSID1038795,1873-88-7,"1,1,1,3,5,5,5-Heptamethyltrisiloxane",C7H22O2Si3,222.09276,222.506,C[SiH](O[Si](C)(C)C)O[Si](C)(C)C,3,344,1,Inactive
DTXSID1038298,5315-79-7,1-Hydroxypyrene,C16H10O,218.073165,218.255,OC1=C2C=CC3=CC=CC4=CC=C(C=C1)C2=C34,227,679,33,Inactive
DTXSID1038321,3739-38-6,3-Phenoxybenzoic acid,C13H10O3,214.062994,214.22,OC(=O)C1=CC(OC2=CC=CC=C2)=CC=C1,12,632,2,Inactive
DTXSID1038822,4196-89-8,Neopentyl glycol dibenzoate,C19H20O4,312.136159,312.365,CC(C)(COC(=O)C1=CC=CC=C1)COC(=O)C1=CC=CC=C1,46,445,10,Inactive
DTXSID1038666,5598-15-2,Chlorpyrifos oxon,C9H11Cl3NO4P,332.949128,334.51,CCOP(=O)(OCC)OC1=NC(Cl)=C(Cl)C=C1Cl,215,756,28,Inactive
DTXSID1038824,4845-50-5,"1,4-Dioxane-2,3-diol",C4H8O4,120.042259,120.104,OC1OCCOC1O,0,316,0,Inactive
DTXSID1038876,132-54-7,Phenyl 1-hydroxy-2-naphthoate,C17H12O3,264.078644,264.28,OC1=C(C=CC2=C1C=CC=C2)C(=O)OC1=CC=CC=C1,38,316,12,Inactive
DTXSID1040245,56038-13-2,Sucralose,C12H19Cl3O8,396.014551,397.63,OC[C@H]1O[C@H](O[C@]2(CCl)O[C@H](CCl)[C@@H](O)[C@@H]2O)[C@H](O)[C@@H](O)[C@H]1Cl,1,434,0,Inactive
DTXSID1040114,107-58-4,tert-Butylacrylamide,C7H13NO,127.099714,127.187,CC(C)(C)NC(=O)C=C,7,426,2,Inactive
DTXSID1040110,105-37-3,Ethyl propionate,C5H10O2,102.06808,102.133,CCOC(=O)CC,0,350,0,Inactive
DTXSID1040112,106-30-9,Ethyl heptanoate,C9H18O2,158.13068,158.241,CCCCCCC(=O)OCC,11,584,2,Inactive
DTXSID1040320,42576-02-3,Bifenox,C14H9Cl2NO5,340.985778,342.13,COC(=O)C1=C(C=CC(OC2=CC=C(Cl)C=C2Cl)=C1)[N+]([O-])=O,54,322,17,Inactive
DTXSID1040164,5977-14-0,3-Oxobutanamide,C4H7NO2,101.047678,101.105,CC(=O)CC(N)=O,1,194,1,Inactive
DTXSID1040326,134-30-5,8-Hydroxyquinoline citrate,C15H15NO8,337.079766,337.284,OC1=CC=CC2=C1N=CC=C2.OC(=O)CC(O)(CC(O)=O)C(O)=O,88,316,28,Inactive
DTXSID1040619,153559-49-0,Bexarotene,C24H28O2,348.20893,348.486,CC1=CC2=C(C=C1C(=C)C1=CC=C(C=C1)C(O)=O)C(C)(C)CCC2(C)C,171,366,47,Active
DTXSID1040372,133855-98-8,Epoxiconazole,C17H13ClFN3O,329.073118,329.76,FC1=CC=C(C=C1)[C@@]1(CN2C=NC=N2)O[C@@H]1C1=C(Cl)C=CC=C1,71,381,19,Inactive
DTXSID1040742,124-94-7,Triamcinolone,C21H27FO6,394.179167,394.439,[H][C@@]12C[C@@H](O)[C@](O)(C(=O)CO)[C@@]1(C)C[C@H](O)[C@@]1(F)[C@@]2([H])CCC2=CC(=O)C=C[C@]12C,66,639,10,Inactive
DTXSID1040792,58-56-0,Pyridoxine hydrochloride,C8H12ClNO3,205.050571,205.64,Cl.CC1=NC=C(CO)C(CO)=C1O,0,355,0,Inactive
DTXSID1040661,882-09-7,Clofibric acid,C10H11ClO3,214.039672,214.65,CC(C)(OC1=CC=C(Cl)C=C1)C(O)=O,6,350,2,Inactive
DTXSID1040794,6152-33-6,Sodium 2-phenylphenate tetrahydrate,C12H17NaO5,264.097368,264.253,O.O.O.O.[Na+].[O-]C1=C(C=CC=C1)C1=CC=CC=C1,52,374,14,Inactive
DTXSID1041184,18172-67-3,(-)-beta-Pinene,C10H16,136.125201,136.238,CC1(C)[C@@H]2C[C@H]1C(=C)CC2,3,346,1,Inactive
DTXSID1041188,705-60-2,1-Phenyl-2-nitropropene,C9H9NO2,163.063329,163.176,CC(=CC1=CC=CC=C1)[N+]([O-])=O,121,361,34,Active
DTXSID1041423,2235-00-9,N-Vinylcaprolactam,C8H13NO,139.099714,139.198,C=CN1CCCCCC1=O,0,316,0,Inactive
DTXSID1041263,83-42-1,1-Chloro-2-methyl-3-nitrobenzene,C7H6ClNO2,171.008706,171.58,CC1=C(C=CC=C1Cl)[N+]([O-])=O,0,316,0,Inactive
DTXSID1041265,2425-77-6,2-Hexyl-1-decanol,C16H34O,242.260966,242.447,CCCCCCCCC(CO)CCCCCC,32,458,7,Inactive
DTXSID1041425,6728-26-3,(2E)-2-Hexenal,C6H10O,98.073165,98.145,CCC\C=C\C=O,4,346,1,Inactive
DTXSID1041502,497-39-2,"3-Methyl-4,6-di-tert-butylphenol",C15H24O,220.182715,220.356,CC1=C(C=C(C(O)=C1)C(C)(C)C)C(C)(C)C,260,445,58,Inactive
DTXSID1041346,533-23-3,"2,4-D-ethyl ester",C10H10Cl2O3,248.0007,249.09,CCOC(=O)COC1=C(Cl)C=C(Cl)C=C1,0,348,0,Inactive
DTXSID1041421,487-06-9,"5,7-Dimethoxy-2H-chromen-2-one",C11H10O4,206.057909,206.197,COC1=CC2=C(C=CC(=O)O2)C(OC)=C1,16,360,4,Inactive
DTXSID1041508,95-69-2,4-Chloro-2-methylaniline,C7H8ClN,141.034527,141.6,CC1=C(N)C=CC(Cl)=C1,13,444,3,Inactive
DTXSID1041506,13347-42-7,4-Chloro-2-cyclopentylphenol,C11H13ClO,196.065493,196.67,OC1=C(C=C(Cl)C=C1)C1CCCC1,83,323,26,Active
DTXSID1041550,7540-51-4,(S)-(-)-beta-Citronellol,C10H20O,156.151415,156.269,C[C@H](CCO)CCC=C(C)C,5,344,1,Inactive
DTXSID1041267,1569-02-4,1-Ethoxy-2-propanol,C5H12O2,104.08373,104.149,CCOCC(C)O,2,347,1,Inactive
DTXSID1041847,109-43-3,Dibutyl decanedioate,C18H34O4,314.24571,314.466,CCCCOC(=O)CCCCCCCCC(=O)OCCCC,5,586,1,Active
DTXSID1041639,827-21-4,Sodium m-xylene-4-sulfonate,C8H9NaO3S,208.01701,208.21,[Na+].CC1=CC=C(C(C)=C1)S([O-])(=O)=O,7,349,2,Inactive
DTXSID1041396,513-53-1,2-Butanethiol,C4H10S,90.050321,90.18,CCC(C)S,0,316,0,Inactive
DTXSID1041891,101-81-5,Diphenylmethane,C13H12,168.0939,168.239,C(C1=CC=CC=C1)C1=CC=CC=C1,7,353,2,Inactive
DTXSID1041920,1559-35-9,2-(2-Ethylhexyloxy)ethanol,C10H22O2,174.16198,174.284,CCCCC(CC)COCCO,2,348,1,Inactive
DTXSID1041978,101463-69-8,Flufenoxuron,C21H11ClF6N2O3,488.036239,488.77,FC1=CC=CC(F)=C1C(=O)NC(=O)NC1=C(F)C=C(OC2=C(Cl)C=C(C=C2)C(F)(F)F)C=C1,54,369,15,Inactive
DTXSID1041970,1632-73-1,Fenchol,C10H18O,154.135765,154.253,CC1(C)C2CCC(C)(C2)C1O,10,352,3,Inactive
DTXSID1042154,493-52-7,Methyl red,C15H15N3O2,269.116427,269.304,CN(C)C1=CC=C(C=C1)\N=N\C1=C(C=CC=C1)C(O)=O,101,354,29,Active
DTXSID1044227,191217-81-9,Pramipexole dihydrochloride monohydrate,C10H21Cl2N3OS,301.078239,302.26,O.Cl.Cl.CCCN[C@H]1CCC2=C(C1)SC(N)=N2,3,316,1,Inactive
DTXSID1042499,594-30-9,Triphenylbismuthine dichloride,C18H15BiCl2,510.03548,511.2,Cl[Bi](Cl)(C1=CC=CC=C1)(C1=CC=CC=C1)C1=CC=CC=C1,171,319,54,Active
DTXSID1042443,56070-16-7,Terbufos sulfone,C9H21O4PS3,320.03396,320.42,CCOP(=S)(OCC)SCS(=O)(=O)C(C)(C)C,18,308,6,Inactive
DTXSID1044352,101-41-7,Methyl phenylacetate,C9H10O2,150.06808,150.177,COC(=O)CC1=CC=CC=C1,3,440,1,Inactive
DTXSID1042445,33693-04-8,Terbumeton,C10H19N5O,225.15896,225.296,CCNC1=NC(OC)=NC(NC(C)(C)C)=N1,11,302,4,Inactive
DTXSID1044221,157810-81-6,Indinavir sulfate,C36H49N5O8S,711.330185,711.88,OS(O)(=O)=O.CC(C)(C)NC(=O)[C@@H]1CN(CC2=CC=CN=C2)CCN1C[C@@H](O)C[C@@H](CC1=CC=CC=C1)C(=O)N[C@@H]1[C@H](O)CC2=C1C=CC=C2,44,316,14,Inactive
DTXSID1042491,2761-24-2,Triethoxypentylsilane,C11H26O3Si,234.165121,234.411,CCCCC[Si](OCC)(OCC)OCC,6,347,2,Inactive
DTXSID1044437,535-87-5,"3,5-Diaminobenzoic acid",C7H8N2O2,152.058578,152.153,NC1=CC(=CC(N)=C1)C(O)=O,3,320,1,Inactive
DTXSID1044487,5137-55-3,Methyltrioctylammonium chloride,C25H54ClN,403.394478,404.16,[Cl-].CCCCCCCC[N+](C)(CCCCCCCC)CCCCCCCC,184,373,49,Inactive
DTXSID1044435,51-05-8,Procaine hydrochloride,C13H21ClN2O2,272.129156,272.77,Cl.CCN(CC)CCOC(=O)C1=CC=C(N)C=C1,3,351,1,Inactive
DTXSID1044514,1083-27-8,Hexylparaben,C13H18O3,222.125594,222.284,CCCCCCOC(=O)C1=CC=C(O)C=C1,132,319,41,Active
DTXSID1044354,102-79-4,N-Butyldiethanolamine,C8H19NO2,161.141579,161.245,CCCCN(CCO)CCO,5,438,1,Inactive
