DTXSID,CASRN,PREFERRED.NAME,MOLECULAR_FORMULA,MONOISOTOPIC.MASS,AVERAGE_MASS,SMILES,ToxCast.Active,ToxCast.Total,X..ToxCast.Active,HIT.CALL,C,H,N,O,S
DTXSID2037714,1987-50-4,4-Heptylphenol,C13H20O,192.151415,192.302,CCCCCCCC1=CC=C(O)C=C1,156,599,26,Inactive,13,20,0,1,0
DTXSID2037502,55179-31-2,Bitertanol,C20H23N3O2,337.179027,337.423,CC(C)(C)C(O)C(OC1=CC=C(C=C1)C1=CC=CC=C1)N1C=NC=N1,106,320,33,Active,20,23,3,2,0
DTXSID2038788,1076-97-7,"1,4-Cyclohexanedicarboxylic acid",C8H12O4,172.073559,172.18,OC(=O)C1CCC(CC1)C(O)=O,7,356,2,Inactive,8,12,0,4,0
DTXSID2038813,2760-98-7,Isophthalyl dihydrazide,C8H10N4O2,194.080376,194.194,NNC(=O)C1=CC(=CC=C1)C(=O)NN,2,316,1,Inactive,8,10,4,2,0
DTXSID2040151,39236-46-9,Imidazolidinyl urea,C11H16N8O8,388.10911,388.297,OCN1C(NC(=O)NCNC(=O)NC2N(CO)C(=O)NC2=O)C(=O)NC1=O,14,345,4,Inactive,11,16,8,8,0
DTXSID2039336,28434-00-6,S-Bioallethrin,C19H26O3,302.188195,302.414,CC(C)=C[C@@H]1[C@@H](C(=O)O[C@H]2CC(=O)C(CC=C)=C2C)C1(C)C,196,728,27,Inactive,19,26,0,3,0
DTXSID2040731,605-45-8,Diisopropyl phthalate,C14H18O4,250.120509,250.294,CC(C)OC(=O)C1=CC=CC=C1C(=O)OC(C)C,19,358,5,Inactive,14,18,0,4,0
DTXSID2041252,128-95-0,"1,4-Diaminoanthraquinone",C14H10N2O2,238.074228,238.246,NC1=CC=C(N)C2=C1C(=O)C1=CC=CC=C1C2=O,76,368,21,Inactive,14,10,2,2,0
DTXSID2041206,1081-34-1,alpha-Terthiophene,C12H8S3,247.978814,248.38,S1C=CC=C1C1=CC=C(S1)C1=CC=CS1,76,334,23,Inactive,12,8,0,0,3
DTXSID2041256,111-29-5,"1,5-Pentanediol",C5H12O2,104.08373,104.149,OCCCCCO,3,316,1,Inactive,5,12,0,2,0
DTXSID2041389,93-08-3,2'-Acetonaphthone,C12H10O,170.073165,170.211,CC(=O)C1=CC2=CC=CC=C2C=C1,8,362,2,Inactive,12,10,0,1,0
DTXSID2041208,58846-77-8,Decyl beta-D-glucopyranoside,C16H32O6,320.219889,320.426,CCCCCCCCCCO[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O,19,346,5,Inactive,16,32,0,6,0
DTXSID2041250,14233-37-5,"1,4-Bis(N-isopropylamino)anthraquinone",C20H22N2O2,322.168128,322.408,CC(C)NC1=CC=C(NC(C)C)C2=C1C(=O)C1=CC=CC=C1C2=O,49,353,14,Inactive,20,22,2,2,0
DTXSID2041200,94-91-7,"N,N?-Disalicylidene-1,2-diaminopropane",C17H18N2O2,282.136828,282.343,CC(CN=CC1=CC=CC=C1O)N=CC1=CC=CC=C1O,31,486,6,Inactive,17,18,2,2,0
DTXSID2041416,97-95-0,2-Ethyl-1-butanol,C6H14O,102.104465,102.177,CCC(CC)CO,1,320,0,Inactive,6,14,0,1,0
DTXSID2041464,111-94-4,"3,3'-Iminobispropanenitrile",C6H9N3,123.079647,123.159,N#CCCNCCC#N,2,362,1,Inactive,6,9,3,0,0
DTXSID2041418,88-09-5,2-Ethylbutyric acid,C6H12O2,116.08373,116.16,CCC(CC)C(O)=O,1,320,0,Inactive,6,12,0,2,0
DTXSID2041622,82560-54-1,Benfuracarb,C20H30N2O5S,410.187543,410.53,CCOC(=O)CCN(SN(C)C(=O)OC1=CC=CC2=C1OC(C)(C)C2)C(C)C,93,442,21,Inactive,20,30,2,5,1
DTXSID2042276,94-71-3,o-Ethoxyphenol,C8H10O2,138.06808,138.166,CCOC1=C(O)C=CC=C1,13,351,4,Inactive,8,10,0,2,0
DTXSID2042436,4065-45-6,Sulisobenzone,C14H12O6S,308.035459,308.3,COC1=C(C=C(C(=O)C2=CC=CC=C2)C(O)=C1)S(O)(=O)=O,1,348,0,Inactive,14,12,0,6,1
DTXSID2042060,124-76-5,Isoborneol,C10H18O,154.135765,154.253,CC1(C)[C@@H]2CC[C@@]1(C)[C@H](O)C2,1,353,0,Inactive,10,18,0,1,0
DTXSID2041672,502-55-6,Diethyl dithiobis(thionoformate),C6H10O2S4,241.956364,242.38,CCOC(=S)SSC(=S)OCC,2,316,1,Inactive,6,10,0,2,4
DTXSID2042062,2756-56-1,Isobornyl propanoate,C13H22O2,210.16198,210.317,CCC(=O)O[C@H]1C[C@@H]2CC[C@@]1(C)C2(C)C,0,350,0,Inactive,13,22,0,2,0
DTXSID2042143,2876-78-0,Methyl 1-naphthaleneacetate,C13H12O2,200.08373,200.237,COC(=O)CC1=C2C=CC=CC2=CC=C1,8,316,3,Inactive,13,12,0,2,0
DTXSID2042191,534-13-4,"N,N'-Dimethylthiourea",C3H8N2S,104.040819,104.17,CNC(=S)NC,19,355,5,Inactive,3,8,2,0,1
DTXSID2043903,92-44-4,"2,3-Dihydroxynaphthalene",C10H8O2,160.052429,160.172,OC1=CC2=C(C=CC=C2)C=C1O,13,314,4,Inactive,10,8,0,2,0
DTXSID2044347,100-06-1,4'-Methoxyacetophenone,C9H10O2,150.06808,150.177,COC1=CC=C(C=C1)C(C)=O,2,322,1,Inactive,9,10,0,2,0
DTXSID2044391,88-69-7,2-Isopropylphenol,C9H12O,136.088815,136.194,CC(C)C1=C(O)C=CC=C1,3,353,1,Inactive,9,12,0,1,0
DTXSID2044472,95-92-1,Diethyl oxalate,C6H10O4,146.057909,146.142,CCOC(=O)C(=O)OCC,2,323,1,Inactive,6,10,0,4,0
DTXSID2044470,93-55-0,1-Phenylpropan-1-one,C9H10O,134.073165,134.178,CCC(=O)C1=CC=CC=C1,0,322,0,Inactive,9,10,0,1,0
DTXSID2044765,103-54-8,3-Phenylprop-2-en-1-yl acetate,C11H12O2,176.08373,176.215,CC(=O)OCC=CC1=CC=CC=C1,3,321,1,Inactive,11,12,0,2,0
DTXSID2044767,103-74-2,2-(2-Pyridyl)ethanol,C7H9NO,123.068414,123.155,OCCC1=NC=CC=C1,0,318,0,Inactive,7,9,1,1,0
DTXSID2044763,10287-53-3,Parbenate,C11H15NO2,193.110279,193.246,CCOC(=O)C1=CC=C(C=C1)N(C)C,13,316,4,Active,11,15,1,2,0
DTXSID2044769,103-95-7,Cyclamen aldehyde,C13H18O,190.135765,190.286,CC(CC1=CC=C(C=C1)C(C)C)C=O,2,318,1,Inactive,13,18,0,1,0
DTXSID2044848,16669-59-3,N-(Isobutoxymethyl)acrylamide,C8H15NO2,157.110279,157.213,CC(C)COCNC(=O)C=C,5,318,2,Inactive,8,15,1,2,0
DTXSID2044898,2628-16-2,4-Ethenylphenyl acetate,C10H10O2,162.06808,162.188,CC(=O)OC1=CC=C(C=C)C=C1,8,321,2,Inactive,10,10,0,2,0
DTXSID2044890,2467-03-0,2-[(4-Hydroxyphenyl)methyl]phenol,C13H12O2,200.08373,200.237,OC1=CC=C(CC2=C(O)C=CC=C2)C=C1,42,439,10,Inactive,13,12,0,2,0
DTXSID2044929,3698-89-3,1-(Methylsulfanyl)dodecane,C13H28S,216.191172,216.43,CCCCCCCCCCCCSC,4,316,1,Inactive,13,28,0,0,1
DTXSID2044971,66072-38-6,"2,2',2''-[Methanetriyltris(benzene-4,1-diyloxymethanediyl)]trioxirane",C28H28O6,460.188589,460.526,C(OC1=CC=C(C=C1)C(C1=CC=C(OCC2CO2)C=C1)C1=CC=C(OCC2CO2)C=C1)C1CO1,92,319,29,Active,28,28,0,6,0
DTXSID2044973,67024-46-8,Propan-2-yl 2-ethylhexanoate,C11H22O2,186.16198,186.295,CCCCC(CC)C(=O)OC(C)C,0,316,0,Inactive,11,22,0,2,0
DTXSID2047062,928-95-0,(E)-2-Hexen-1-ol,C6H12O,100.088815,100.161,CCC\C=C\CO,0,318,0,Inactive,6,12,0,1,0
DTXSID2047222,29548-30-9,Farnesyl acetate,C17H28O2,264.20893,264.409,CC(C)=CCCC(C)=CCCC(C)=CCOC(C)=O,50,303,17,Active,17,28,0,2,0
DTXSID2047141,502-72-7,Cyclopentadecanone,C15H28O,224.214016,224.388,O=C1CCCCCCCCCCCCCC1,25,318,8,Inactive,15,28,0,1,0
DTXSID2047068,141-12-8,"cis-3,7-Dimethyl-2,6-octadien-1-yl acetate",C12H20O2,196.14633,196.29,CC(C)=CCC\C(C)=C/COC(C)=O,0,321,0,Inactive,12,20,0,2,0
DTXSID2047066,3848-24-6,"2,3-Hexanedione",C6H10O2,114.06808,114.144,CCCC(=O)C(C)=O,1,316,0,Inactive,6,10,0,2,0
DTXSID2047060,151-10-0,"1,3-Dimethoxybenzene",C8H10O2,138.06808,138.166,COC1=CC(OC)=CC=C1,0,318,0,Inactive,8,10,0,2,0
DTXSID2047145,541-47-9,"3,3-Dimethylacrylic acid",C5H8O2,100.052429,100.117,CC(C)=CC(O)=O,5,318,2,Inactive,5,8,0,2,0
DTXSID2047191,126-64-7,Linalyl benzoate,C17H22O2,258.16198,258.361,CC(C)=CCCC(C)(OC(=O)C1=CC=CC=C1)C=C,25,321,8,Inactive,17,22,0,2,0
DTXSID2047193,141-25-3,Rhodinol,C10H20O,156.151415,156.269,CC(CCO)CCCC(C)=C,8,318,3,Inactive,10,20,0,1,0
DTXSID2047272,249296-43-3,CJ-013610,C23H27N3O5S2,489.139213,489.61,CS(O)(=O)=O.CC1=NC=CN1C1=CC=C(SC2=CC=CC(=C2)C2(CCOCC2)C(N)=O)C=C1,232,629,37,Active,23,27,3,5,2
DTXSID2047197,13851-11-1,Fenchyl acetate,C12H20O2,196.14633,196.29,CC(=O)OC1C2(C)CCC(C2)C1(C)C,0,318,0,Inactive,12,20,0,2,0
DTXSID2047199,2785-87-7,2-Methoxy-4-propylphenol,C10H14O2,166.09938,166.22,CCCC1=CC(OC)=C(O)C=C1,4,321,1,Inactive,10,14,0,2,0
DTXSID2047195,38462-22-5,p-Mentha-8-thiol-3-one,C10H18OS,186.107836,186.31,CC1CCC(C(=O)C1)C(C)(C)S,9,318,3,Inactive,10,18,0,1,1
DTXSID2047276,194098-25-4,CP-409092,C17H19N3O2,297.147727,297.358,CNCC1=CC=C(NC(=O)C2=CNC3=C2C(=O)CCC3)C=C1,36,610,6,Inactive,17,19,3,2,0
DTXSID2047301,210826-40-7,CP-456773,C20H24N2O5S,404.140593,404.48,CC(C)(O)C1=COC(=C1)S(=O)(=O)NC(=O)NC1=C2CCCC2=CC2=C1CCC2,34,601,6,Inactive,20,24,2,5,1
DTXSID2047307,501027-49-2,PD-0333941,C23H22N2O4,390.157957,390.439,CC1=C(CCOC2=CC=CC3=C2C=CN3CCC(O)=O)N=C(O1)C1=CC=CC=C1,134,619,22,Inactive,23,22,2,4,0
DTXSID2047309,162706-14-1,UK-156819,C19H20N2O2,308.152478,308.381,CC1=C(C2=C(C=CC=C2)N1CCCCC(O)=O)C1=CN=CC=C1,35,601,6,Inactive,19,20,2,2,0
DTXSID2047436,475-31-0,Glycocholic acid,C26H43NO6,465.309038,465.631,C[C@H](CCC(=O)NCC(O)=O)[C@H]1CC[C@H]2[C@@H]3[C@H](O)C[C@@H]4C[C@H](O)CC[C@]4(C)[C@H]3C[C@H](O)[C@]12C,8,334,2,Inactive,26,43,1,6,0
DTXSID2047511,628-97-7,Ethyl hexadecanoate,C18H36O2,284.27153,284.484,CCCCCCCCCCCCCCCC(=O)OCC,1,321,0,Inactive,18,36,0,2,0
DTXSID2047642,115-99-1,Linalyl formate,C11H18O2,182.13068,182.263,CC(C)=CCCC(C)(OC=O)C=C,5,318,2,Inactive,11,18,0,2,0
DTXSID2047644,119-65-3,Isoquinoline,C9H7N,129.057849,129.162,C1=CC2=C(C=C1)C=NC=C2,2,321,1,Inactive,9,7,1,0,0
DTXSID2047567,24817-51-4,2-Phenylethyl 2-methylbutanoate,C13H18O2,206.13068,206.285,CCC(C)C(=O)OCCC1=CC=CC=C1,2,318,1,Inactive,13,18,0,2,0
DTXSID2047646,122-67-8,Isobutyl 3-phenylacrylate,C13H16O2,204.11503,204.269,CC(C)COC(=O)C=CC1=CC=CC=C1,9,318,3,Inactive,13,16,0,2,0
DTXSID2047648,122-72-5,3-Phenylpropyl acetate,C11H14O2,178.09938,178.231,CC(=O)OCCCC1=CC=CC=C1,1,318,0,Inactive,11,14,0,2,0
DTXSID2047727,94-86-0,2-Ethoxy-5-(1-propenyl)phenol,C11H14O2,178.09938,178.231,CCOC1=C(O)C=C(C=CC)C=C1,15,317,5,Inactive,11,14,0,2,0
DTXSID2048167,138472-01-2,FR 409,C8H13N3O4,215.090606,215.209,CC\C(=C/C(=N\O)/C(N)=O)C(C)[N+]([O-])=O,21,586,4,Inactive,8,13,3,4,0
DTXSID2050403,611-14-3,1-Ethyl-2-methylbenzene,C9H12,120.0939,120.195,CCC1=CC=CC=C1C,0,198,0,Inactive,9,12,0,0,0
DTXSID2052310,626-64-2,4-Pyridinol,C5H5NO,95.037114,95.101,OC1=CC=NC=C1,2,198,1,Inactive,5,5,1,1,0
DTXSID2052281,611-59-6,"1,7-Dimethylxanthine",C7H8N4O2,180.064726,180.167,CN1C=NC2=C1C(=O)N(C)C(=O)N2,2,198,1,Inactive,7,8,4,2,0
DTXSID2052574,83-56-7,"1,5-Dihydroxynaphthalene",C10H8O2,160.052429,160.172,OC1=CC=CC2=C(O)C=CC=C12,41,197,21,Inactive,10,8,0,2,0
DTXSID2051716,142-08-5,2(1H)-Pyridinone,C5H5NO,95.037114,95.101,O=C1NC=CC=C1,0,199,0,Inactive,5,5,1,1,0
DTXSID2051764,1609-47-8,Diethyl pyrocarbonate,C6H10O5,162.052823,162.141,CCOC(=O)OC(=O)OCC,0,194,0,Inactive,6,10,0,5,0
DTXSID2052283,6117-91-5,But-2-en-1-ol,C4H8O,72.057515,72.107,CC=CCO,1,195,1,Inactive,4,8,0,1,0
DTXSID2052607,91-10-1,"2,6-Dimethoxyphenol",C8H10O3,154.062994,154.165,COC1=CC=CC(OC)=C1O,1,198,1,Inactive,8,10,0,3,0
DTXSID3020043,97-59-6,Allantoin,C4H6N4O3,158.04399,158.117,NC(=O)NC1NC(=O)NC1=O,0,356,0,Inactive,4,6,4,3,0
DTXSID3020047,57-06-7,Allyl isothiocyanate,C4H5NS,99.01427,99.15,C=CCN=C=S,3,347,1,Inactive,4,5,1,0,1
DTXSID3020205,85-68-7,Benzyl butyl phthalate,C19H20O4,312.136159,312.365,CCCCOC(=O)C1=C(C=CC=C1)C(=O)OCC1=CC=CC=C1,94,700,13,Inactive,19,20,0,4,0
DTXSID3020209,94-26-8,Butylparaben,C11H14O3,194.094294,194.23,CCCCOC(=O)C1=CC=C(O)C=C1,102,657,16,Inactive,11,14,0,3,0
DTXSID3020207,88-85-7,Dinoseb,C10H12N2O5,240.074621,240.215,CCC(C)C1=CC(=CC(=C1O)[N+]([O-])=O)[N+]([O-])=O,245,614,40,Inactive,10,12,2,5,0
DTXSID3020332,77-92-9,Citric acid,C6H8O7,192.027003,192.123,OC(=O)CC(O)(CC(O)=O)C(O)=O,5,599,1,Inactive,6,8,0,7,0
DTXSID3020257,120-80-9,"1,?2-?Benzenediol",C6H6O2,110.036779,110.112,OC1=C(O)C=CC=C1,117,593,20,Inactive,6,6,0,2,0
DTXSID3020465,56-53-1,Diethylstilbestrol,C18H20O2,268.14633,268.356,CC\C(=C(\CC)C1=CC=C(O)C=C1)C1=CC=C(O)C=C1,394,806,49,Inactive,18,20,0,2,0
DTXSID3020706,26049-70-7,2-Hydrazino-4-(4-nitrophenyl)thiazole,C9H8N4O2S,236.036797,236.25,NNC1=NC(=CS1)C1=CC=C(C=C1)[N+]([O-])=O,92,319,29,Inactive,9,8,4,2,1
DTXSID3020625,98319-26-7,Finasteride,C23H36N2O2,372.277678,372.553,CC(C)(C)NC(=O)[C@H]1CC[C@H]2[C@@H]3CC[C@H]4NC(=O)C=C[C@]4(C)[C@H]3CC[C@]12C,41,436,9,Active,23,36,2,2,0
DTXSID3020881,64091-91-4,4-(N-Methyl-N-nitrosamino)-1-(3-pyridyl)-1-butanone,C10H13N3O2,207.100777,207.233,CN(CCCC(=O)C1=CC=CN=C1)N=O,2,218,1,Inactive,10,13,3,2,0
DTXSID3020887,91-62-3,6-Methylquinoline,C10H9N,143.073499,143.189,CC1=CC2=CC=CN=C2C=C1,7,616,1,Inactive,10,9,1,0,0
DTXSID3020704,26049-71-8,2-Hydrazino-4-(4-aminophenyl) thiazole,C9H10N4S,206.062618,206.27,NNC1=NC(=CS1)C1=CC=C(N)C=C1,44,319,14,Inactive,9,10,4,0,1
DTXSID3020889,622-97-9,4-Methylstyrene,C9H10,118.07825,118.179,CC1=CC=C(C=C)C=C1,5,345,1,Inactive,9,10,0,0,0
DTXSID3020912,389-08-2,Nalidixic acid,C12H12N2O3,232.084792,232.239,CCN1C=C(C(O)=O)C(=O)C2=C1N=C(C)C=C2,4,439,1,Inactive,12,12,2,3,0
DTXSID3020916,2243-62-1,"1,5-Naphthalenediamine",C10H10N2,158.084398,158.204,NC1=CC=CC2=C(N)C=CC=C12,88,627,14,Inactive,10,10,2,0,0
DTXSID3020960,602-87-9,5-Nitroacenaphthene,C12H9NO2,199.063329,199.209,[O-][N+](=O)C1=CC=C2CCC3=CC=CC1=C23,36,438,8,Inactive,12,9,1,2,0
DTXSID3020918,93-46-9,"N,N'-Di-2-naphthyl-p-phenylenediamine",C26H20N2,360.162649,360.46,N(C1=CC=C(NC2=CC=C3C=CC=CC3=C2)C=C1)C1=CC=C2C=CC=CC2=C1,16,432,4,Inactive,26,20,2,0,0
DTXSID3020962,91-23-6,1-Methoxy-2-nitrobenzene,C7H7NO3,153.042593,153.137,COC1=C(C=CC=C1)[N+]([O-])=O,2,318,1,Inactive,7,7,1,3,0
DTXSID3020910,55-98-1,Busulfan,C6H14O6S2,246.023181,246.29,CS(=O)(=O)OCCCCOS(C)(=O)=O,16,603,3,Inactive,6,14,0,6,2
DTXSID3020964,98-95-3,Nitrobenzene,C6H5NO2,123.032028,123.111,[O-][N+](=O)C1=CC=CC=C1,5,590,1,Inactive,6,5,1,2,0
DTXSID3020966,62-23-7,4-Nitrobenzoic acid,C7H5NO4,167.021858,167.12,OC(=O)C1=CC=C(C=C1)[N+]([O-])=O,5,567,1,Inactive,7,5,1,4,0
DTXSID3021277,110-44-1,"2E,4E-Hexadienoic acid",C6H8O2,112.052429,112.128,C\C=C\C=C\C(O)=O,21,590,4,Inactive,6,8,0,2,0
DTXSID3021356,52225-20-4,dl-alpha-Tocopheryl acetate,C31H52O3,472.391646,472.754,CC(C)CCC[C@@H](C)CCC[C@@H](C)CCC[C@]1(C)CCC2=C(O1)C(C)=C(C)C(OC(C)=O)=C2C,2,351,1,Inactive,31,52,0,3,0
DTXSID3021358,1156-19-0,Tolazamide,C14H21N3O3S,311.130363,311.4,CC1=CC=C(C=C1)S(=O)(=O)NC(=O)NN1CCCCCC1,9,578,2,Inactive,14,21,3,3,1
DTXSID3021483,122-78-1,Phenylacetaldehyde,C8H8O,120.057515,120.151,O=CCC1=CC=CC=C1,22,353,6,Inactive,8,8,0,1,0
DTXSID3021516,78-93-3,Methyl ethyl ketone,C4H8O,72.057515,72.107,CCC(C)=O,1,328,0,Inactive,4,8,0,1,0
DTXSID3021641,112-05-0,Nonanoic acid,C9H18O2,158.13068,158.241,CCCCCCCCC(O)=O,7,590,1,Inactive,9,18,0,2,0
DTXSID3021643,124-13-0,Octanal,C8H16O,128.120115,128.215,CCCCCCCC=O,13,586,2,Inactive,8,16,0,1,0
DTXSID3021645,124-07-2,Octanoic acid,C8H16O2,144.11503,144.214,CCCCCCCC(O)=O,10,633,2,Inactive,8,16,0,2,0
DTXSID3021487,528-44-9,"1,2,4-Benzenetricarboxylic acid",C9H6O6,210.016438,210.141,OC(=O)C1=CC(C(O)=O)=C(C=C1)C(O)=O,0,318,0,Inactive,9,6,0,6,0
DTXSID3021518,110-17-8,Fumaric acid,C4H4O4,116.010959,116.072,OC(=O)\C=C\C(O)=O,5,353,1,Inactive,4,4,0,4,0
DTXSID3021485,121-91-5,"1,3-Benzenedicarboxylic acid",C8H6O4,166.026609,166.132,OC(=O)C1=CC(=CC=C1)C(O)=O,5,569,1,Inactive,8,6,0,4,0
DTXSID3021801,91-88-3,2-(N-Ethyl-m-toluidino)ethanol,C11H17NO,179.131014,179.263,CCN(CCO)C1=CC(C)=CC=C1,3,316,1,Inactive,11,17,1,1,0
DTXSID3021851,103-05-9,2-Methyl-4-phenylbutan-2-ol,C11H16O,164.120115,164.248,CC(C)(O)CCC1=CC=CC=C1,1,328,0,Inactive,11,16,0,1,0
DTXSID3021853,103-76-4,1-Piperazineethanol,C6H14N2O,130.110613,130.191,OCCN1CCNCC1,18,348,5,Inactive,6,14,2,1,0
DTXSID3021774,83-32-9,Acenaphthene,C12H10,154.07825,154.212,C1CC2=C3C1=CC=CC3=CC=C2,18,589,3,Inactive,12,10,0,0,0
DTXSID3021726,65-45-2,Salicylamide,C7H7NO2,137.047678,137.138,NC(=O)C1=CC=CC=C1O,0,349,0,Inactive,7,7,1,2,0
DTXSID3021778,84-62-8,Diphenyl phthalate,C20H14O4,318.089209,318.328,O=C(OC1=CC=CC=C1)C1=CC=CC=C1C(=O)OC1=CC=CC=C1,48,432,11,Inactive,20,14,0,4,0
DTXSID3021805,94-62-2,Piperine,C17H19NO3,285.136493,285.343,O=C(\C=C\C=C\C1=CC=C2OCOC2=C1)N1CCCCC1,46,319,14,Inactive,17,19,1,3,0
DTXSID3021807,95-47-6,o-Xylene,C8H10,106.07825,106.168,CC1=C(C)C=CC=C1,1,323,0,Inactive,8,10,0,0,0
DTXSID3022035,464-45-9,[(1S)-endo]-(-)-Borneol,C10H18O,154.135765,154.253,[H][C@]12CC[C@](C)([C@H](O)C1)C2(C)C,2,325,1,Inactive,10,18,0,1,0
DTXSID3022085,619-50-1,Methyl p-nitrobenzoate,C8H7NO4,181.037508,181.147,COC(=O)C1=CC=C(C=C1)[N+]([O-])=O,3,197,2,Inactive,8,7,1,4,0
DTXSID3021932,111-42-2,Diethanolamine,C4H11NO2,105.078979,105.137,OCCNCCO,30,595,5,Inactive,4,11,1,2,0
DTXSID3021936,111-69-3,Hexanedinitrile,C6H8N2,108.068748,108.144,N#CCCCCC#N,1,586,0,Inactive,6,8,2,0,0
DTXSID3021982,123-86-4,Butyl acetate,C6H12O2,116.08373,116.16,CCCCOC(C)=O,2,319,1,Inactive,6,12,0,2,0
DTXSID3021984,124-22-1,1-Dodecanamine,C12H27N,185.21435,185.355,CCCCCCCCCCCCN,49,376,13,Inactive,12,27,1,0,0
DTXSID3021980,123-66-0,Ethyl hexanoate,C8H16O2,144.11503,144.214,CCCCCC(=O)OCC,2,352,1,Inactive,8,16,0,2,0
DTXSID3022164,1745-81-9,2-Allylphenol,C9H10O,134.073165,134.178,OC1=CC=CC=C1CC=C,3,319,1,Inactive,9,10,0,1,0
DTXSID3022247,7212-44-4,Nerolidol,C15H26O,222.198365,222.372,CC(C)=CCCC(C)=CCCC(C)(O)C=C,63,345,18,Inactive,15,26,0,1,0
DTXSID3022320,58-72-0,Triphenylethylene,C20H16,256.125201,256.348,C(=C(C1=CC=CC=C1)C1=CC=CC=C1)C1=CC=CC=C1,59,426,14,Inactive,20,16,0,0,0
DTXSID3022370,57-83-0,Progesterone,C21H30O2,314.22458,314.469,[H][C@@]12CC[C@H](C(C)=O)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])CCC2=CC(=O)CC[C@]12C,253,649,39,Inactive,21,30,0,2,0
DTXSID3022536,599-64-4,4-Cumylphenol,C15H16O,212.120115,212.292,CC(C)(C1=CC=CC=C1)C1=CC=C(O)C=C1,287,711,40,Inactive,15,16,0,1,0
DTXSID3022405,131-57-7,2-Hydroxy-4-methoxybenzophenone,C14H12O3,228.078644,228.247,COC1=CC=C(C(=O)C2=CC=CC=C2)C(O)=C1,64,509,13,Inactive,14,12,0,3,0
DTXSID3022409,80-09-1,"4,4'-Sulfonyldiphenol",C12H10O4S,250.02998,250.27,OC1=CC=C(C=C1)S(=O)(=O)C1=CC=C(O)C=C1,52,417,12,Inactive,12,10,0,4,1
DTXSID3022455,131-11-3,Dimethyl phthalate,C10H10O4,194.057909,194.186,COC(=O)C1=C(C=CC=C1)C(=O)OC,2,673,0,Inactive,10,10,0,4,0
DTXSID3022588,54-62-6,Aminopterin,C19H20N8O5,440.155666,440.42,NC1=NC2=C(N=C(CNC3=CC=C(C=C3)C(=O)N[C@@H](CCC(O)=O)C(O)=O)C=N2)C(N)=N1,86,624,14,Inactive,19,20,8,5,0
DTXSID3022877,147-94-4,Cytarabine,C9H13N3O5,243.085521,243.219,NC1=NC(=O)N(C=C1)[C@@H]1O[C@H](CO)[C@@H](O)[C@@H]1O,51,375,14,Inactive,9,13,3,5,0
DTXSID3023471,57-47-6,Physostigmine,C15H21N3O2,275.163377,275.352,CNC(=O)OC1=CC2=C(C=C1)N(C)[C@H]1N(C)CC[C@@]21C,6,319,2,Inactive,15,21,3,2,0
DTXSID3023556,68-26-8,Retinol,C20H30O,286.229666,286.459,C\C(=C/CO)\C=C\C=C(/C)\C=C\C1=C(C)CCCC1(C)C,148,638,23,Inactive,20,30,0,1,0
DTXSID3023845,208-96-8,Acenaphthylene,C12H8,152.0626,152.196,C1=CC2=C3C1=CC=CC3=CC=C2,26,608,4,Inactive,12,8,0,0,0
DTXSID3023764,192-97-2,Benzo[e]pyrene,C20H12,252.0939,252.316,C1=CC2=C3C=CC=C4C=CC5=CC=CC(=C2C=C1)C5=C34,54,460,12,Inactive,20,12,0,0,0
DTXSID3023685,134308-13-7,Tolcapone,C14H11NO5,273.063722,273.244,CC1=CC=C(C=C1)C(=O)C1=CC(O)=C(O)C(=C1)[N+]([O-])=O,92,322,29,Inactive,14,11,1,5,0
DTXSID3024152,81335-37-7,Imazaquin,C17H17N3O3,311.126991,311.341,CC(C)C1(C)N=C(NC1=O)C1=NC2=C(C=CC=C2)C=C1C(O)=O,10,629,2,Inactive,17,17,3,3,0
DTXSID3024104,206-44-0,Fluoranthene,C16H10,202.07825,202.256,C1=CC2=C(C=C1)C1=C3C2=CC=CC3=CC=C1,83,631,13,Inactive,16,10,0,0,0
DTXSID3024100,84-72-0,Ethyl phthalyl ethyl glycolate,C14H16O6,280.094688,280.276,CCOC(=O)COC(=O)C1=CC=CC=C1C(=O)OCC,1,321,0,Inactive,14,16,0,6,0
DTXSID3024366,121-44-8,Triethylamine,C6H15N,101.120449,101.193,CCN(CC)CC,1,320,0,Inactive,6,15,1,0,0
DTXSID3024318,886-50-0,Terbutryn,C10H19N5S,241.136117,241.36,CCNC1=NC(SC)=NC(NC(C)(C)C)=N1,54,441,12,Inactive,10,19,5,0,1
DTXSID3024287,81335-77-5,Imazethapyr,C15H19N3O3,289.142641,289.335,CCC1=CN=C(C2=NC(C)(C(C)C)C(=O)N2)C(=C1)C(O)=O,5,651,1,Inactive,15,19,3,3,0
DTXSID3024491,6285-57-0,2-Amino-6-nitrobenzothiazole,C7H5N3O2S,195.010248,195.2,NC1=NC2=CC=C(C=C2S1)[N+]([O-])=O,26,318,8,Inactive,7,5,3,2,1
DTXSID3024289,129-00-0,Pyrene,C16H10,202.07825,202.256,C1=CC2=C3C(C=CC4=CC=CC(C=C2)=C34)=C1,60,659,9,Inactive,16,10,0,0,0
DTXSID3024316,34014-18-1,Tebuthiuron,C9H16N4OS,228.104482,228.31,CNC(=O)N(C)C1=NN=C(S1)C(C)(C)C,10,632,2,Inactive,9,16,4,1,1
